Yes,No,Task,Label1,Label2,Label3,Sky_shape,Earth_shape,Air_shape,intro_label1,intro_label2,intro_label3,Shape1,Shape2,Shape3,intro_label_type1,intro_label_type2,Label,Target,Shape,CorrectAnswer,key_commands.thisRepN,key_commands.thisTrialN,key_commands.thisN,key_commands.thisIndex,task_order.thisRepN,task_order.thisTrialN,task_order.thisN,task_order.thisIndex,task_block.thisRepN,task_block.thisTrialN,task_block.thisN,task_block.thisIndex,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,intro_text.started,intro_text.stopped,instructions_text.started,instructions_text.stopped,practice_fixation_cross.started,practice_fixation_cross.stopped,practice_target_label.started,practice_target_label.stopped,practice_target_plus.started,practice_target_plus.stopped,practice_target_shape.started,practice_target_shape.stopped,practice_resp.keys,practice_resp.corr,practice_resp.rt,practice_resp.started,practice_resp.stopped,practice_target_label_valence.started,practice_target_label_valence.stopped,ITI_text.started,ITI_text.stopped,practice_feedback_text.started,practice_feedback_text.stopped,participant,group,session,date,expName,psychopyVersion,frameRate,
m,n,Control,C,S,T,Circle,Square,Triangle,air,earth,sky,Air,Earth,Sky,words,word,sky,earth,Earth,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76.12788629200077,None,77.05548337497748,None,77.79635491699446,None,78.94740937498864,79.08834374998696,78.94740937498864,79.08834374998696,78.94740937498864,79.08834374998696,n,1,0.23240712500410154,78.94740937498864,None,78.94740937498864,79.08834374998696,79.1959933329781,None,79.97219583299011,None,444,A,01,2023-02-07_12h49.02.086,AssociativeLearning_v2,2022.1.4,None,
m,n,Control,C,S,T,Circle,Square,Triangle,air,earth,sky,Air,Earth,Sky,words,word,earth,sky,Sky,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,,,,,,,80.49090949998936,80.62698570798966,80.49090949998936,80.62698570798966,80.49090949998936,80.62698570798966,m,0,0.7585064169834368,80.49090949998936,None,80.49090949998936,80.62698570798966,81.25894899998093,None,81.80537366698263,None,444,A,01,2023-02-07_12h49.02.086,AssociativeLearning_v2,2022.1.4,None,
m,n,Control,C,S,T,Circle,Square,Triangle,air,earth,sky,Air,Earth,Sky,words,word,sky,sky,Sky,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,,82.317367791984,82.4525174999726,82.317367791984,82.4525174999726,82.317367791984,82.4525174999726,n,0,0.47474079101812094,82.317367791984,None,82.317367791984,82.4525174999726,82.80855729198083,None,83.64834495799732,None,444,A,01,2023-02-07_12h49.02.086,AssociativeLearning_v2,2022.1.4,None,
m,n,Control,C,S,T,Circle,Square,Triangle,air,earth,sky,Air,Earth,Sky,words,word,air,air,Air,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,,,,,,,84.1629188329971,84.30480920799891,84.1629188329971,84.30480920799891,84.1629188329971,84.30480920799891,n,0,0.3440181250043679,84.1629188329971,None,84.1629188329971,84.30480920799891,84.51891274997615,None,85.35498549998738,None,444,A,01,2023-02-07_12h49.02.086,AssociativeLearning_v2,2022.1.4,None,
