Label,Target,Shape,CorrectAnswer,n,ITI_text.started_mean,ITI_text.started_raw,,ITI_text.started_std,ITI_text.stopped_raw,,practice_feedback_text.started_mean,practice_feedback_text.started_raw,,practice_feedback_text.started_std,practice_feedback_text.stopped_raw,,practice_resp.corr_mean,practice_resp.corr_raw,,practice_resp.corr_std,practice_resp.keys_raw,,practice_resp.rt_mean,practice_resp.rt_raw,,practice_resp.rt_std,practice_resp.started_mean,practice_resp.started_raw,,practice_resp.started_std,practice_resp.stopped_raw,,practice_target_label.started_mean,practice_target_label.started_raw,,practice_target_label.started_std,practice_target_label.stopped_mean,practice_target_label.stopped_raw,,practice_target_label.stopped_std,practice_target_label_valence.started_mean,practice_target_label_valence.started_raw,,practice_target_label_valence.started_std,practice_target_label_valence.stopped_mean,practice_target_label_valence.stopped_raw,,practice_target_label_valence.stopped_std,practice_target_plus.started_mean,practice_target_plus.started_raw,,practice_target_plus.started_std,practice_target_plus.stopped_mean,practice_target_plus.stopped_raw,,practice_target_plus.stopped_std,practice_target_shape.started_mean,practice_target_shape.started_raw,,practice_target_shape.started_std,practice_target_shape.stopped_mean,practice_target_shape.stopped_raw,,practice_target_shape.stopped_std,order,
sky,sky,Sky,Yes,2.0,52.76427459716797,37.92414474487305, 67.60440063476562,20.987110207095185,, ,53.447303771972656,38.69284439086914, 68.2017593383789,20.865953864841405,, ,0.0,0.0, 0.0,0.0,'m', 'm',0.6928333044052124,0.6994515657424927, 0.6862151026725769,0.009359592795757644,52.05457305908203,37.21316146850586, 66.89598083496094,20.98892285875594,, ,52.05457305908203,37.21316146850586, 66.89598083496094,20.98892285875594,52.20086669921875,37.359474182128906, 67.0422592163086,20.988898582171025,52.05457305908203,37.21316146850586, 66.89598083496094,20.98892285875594,52.20086669921875,37.359474182128906, 67.0422592163086,20.988898582171025,52.05457305908203,37.21316146850586, 66.89598083496094,20.98892285875594,52.20086669921875,37.359474182128906, 67.0422592163086,20.988898582171025,52.05457305908203,37.21316146850586, 66.89598083496094,20.98892285875594,52.20086669921875,37.359474182128906, 67.0422592163086,20.988898582171025,6.0, 20.0
sky,earth,Earth,No,2.0,41.338165283203125,28.981666564941406, 53.69466018676758,17.474725373413392,, ,42.14045715332031,29.783126831054688, 54.49778366088867,17.475901439074242,, ,0.5,0.0, 1.0,0.7071067811865476,, 'm',1.0521906614303589,, 1.0521906614303589,0.0,40.060142517089844,27.49262237548828, 52.62765884399414,17.773154732251868,, ,40.060142517089844,27.49262237548828, 52.62765884399414,17.773154732251868,40.208282470703125,27.640613555908203, 52.77594757080078,17.773365129319636,40.060142517089844,27.49262237548828, 52.62765884399414,17.773154732251868,40.208282470703125,27.640613555908203, 52.77594757080078,17.773365129319636,40.060142517089844,27.49262237548828, 52.62765884399414,17.773154732251868,40.208282470703125,27.640613555908203, 52.77594757080078,17.773365129319636,40.060142517089844,27.49262237548828, 52.62765884399414,17.773154732251868,40.208282470703125,27.640613555908203, 52.77594757080078,17.773365129319636,2.0, 14.0
sky,air,Air,No,2.0,48.63359832763672,45.766883850097656, 51.50031661987305,4.054149190986246,, ,49.290042877197266,46.457489013671875, 52.122596740722656,4.005836089949916,, ,0.5,1.0, 0.0,0.7071067811865476,'m', 'n',0.5812976360321045,0.7454692125320435, 0.4171260893344879,0.23217364896896248,48.039527893066406,45.008514404296875, 51.07054138183594,4.286500383553662,, ,48.039527893066406,45.008514404296875, 51.07054138183594,4.286500383553662,48.18775939941406,45.157569885253906, 51.21794509887695,4.285332410088578,48.039527893066406,45.008514404296875, 51.07054138183594,4.286500383553662,48.18775939941406,45.157569885253906, 51.21794509887695,4.285332410088578,48.039527893066406,45.008514404296875, 51.07054138183594,4.286500383553662,48.18775939941406,45.157569885253906, 51.21794509887695,4.285332410088578,48.039527893066406,45.008514404296875, 51.07054138183594,4.286500383553662,48.18775939941406,45.157569885253906, 51.21794509887695,4.285332410088578,10.0, 13.0
earth,earth,Earth,Yes,2.0,41.00354766845703,26.1260929107666, 55.881004333496094,21.03989964061713,, ,41.742733001708984,26.980321884155273, 56.50514221191406,20.87720066707271,, ,0.0,0.0, 0.0,0.0,, 'm',0.8519473075866699,, 0.8519473075866699,0.0,39.81749725341797,24.629276275634766, 55.00571823120117,21.479388095100557,, ,39.81749725341797,24.629276275634766, 55.00571823120117,21.479388095100557,39.95882797241211,24.77223014831543, 55.14542770385742,21.477093957842456,39.81749725341797,24.629276275634766, 55.00571823120117,21.479388095100557,39.95882797241211,24.77223014831543, 55.14542770385742,21.477093957842456,39.81749725341797,24.629276275634766, 55.00571823120117,21.479388095100557,39.95882797241211,24.77223014831543, 55.14542770385742,21.477093957842456,39.81749725341797,24.629276275634766, 55.00571823120117,21.479388095100557,39.95882797241211,24.77223014831543, 55.14542770385742,21.477093957842456,1.0, 15.0
earth,sky,Sky,No,2.0,52.832862854003906,33.96968078613281, 71.696044921875,26.676567909896267,, ,53.50247573852539,34.724937438964844, 72.28001403808594,26.555449331218753,, ,1.0,1.0, 1.0,0.0,'m', 'm',0.8858274221420288,1.1481388807296753, 0.6235159039497375,0.370964464447369,51.93029022216797,32.79967498779297, 71.06090545654297,27.054775520994472,, ,51.93029022216797,32.79967498779297, 71.06090545654297,27.054775520994472,52.07689666748047,32.945831298828125, 71.20796203613281,27.055412106994382,51.93029022216797,32.79967498779297, 71.06090545654297,27.054775520994472,52.07689666748047,32.945831298828125, 71.20796203613281,27.055412106994382,51.93029022216797,32.79967498779297, 71.06090545654297,27.054775520994472,52.07689666748047,32.945831298828125, 71.20796203613281,27.055412106994382,51.93029022216797,32.79967498779297, 71.06090545654297,27.054775520994472,52.07689666748047,32.945831298828125, 71.20796203613281,27.055412106994382,4.0, 22.0
earth,air,Air,No,2.0,43.42399215698242,23.60267448425293, 63.24531173706055,28.031577625578745,, ,44.05208969116211,24.1141414642334, 63.99003982543945,28.19651813711437,, ,0.5,0.0, 1.0,0.7071067811865476,, 'm',1.0929855108261108,, 1.0929855108261108,0.0,42.11659622192383,22.09686851501465, 62.136322021484375,28.312169089428263,, ,42.11659622192383,22.09686851501465, 62.136322021484375,28.312169089428263,42.263187408447266,22.24079704284668, 62.28557586669922,28.31593465746162,42.11659622192383,22.09686851501465, 62.136322021484375,28.312169089428263,42.263187408447266,22.24079704284668, 62.28557586669922,28.31593465746162,42.11659622192383,22.09686851501465, 62.136322021484375,28.312169089428263,42.263187408447266,22.24079704284668, 62.28557586669922,28.31593465746162,42.11659622192383,22.09686851501465, 62.136322021484375,28.312169089428263,42.263187408447266,22.24079704284668, 62.28557586669922,28.31593465746162,0.0, 18.0
air,air,Air,Yes,2.0,51.02861404418945,44.001487731933594, 58.05574035644531,9.93785733530107,, ,51.67395782470703,44.49707794189453, 58.850833892822266,10.14963816839812,, ,0.5,1.0, 0.0,0.7071067811865476,'n', 'm',0.9424917697906494,0.8635117411613464, 1.0214717388153076,0.11169458549733505,50.07038116455078,43.12594985961914, 57.014808654785156,9.820906237004683,, ,50.07038116455078,43.12594985961914, 57.014808654785156,9.820906237004683,50.21807098388672,43.274200439453125, 57.16194534301758,9.82011859669971,50.07038116455078,43.12594985961914, 57.014808654785156,9.820906237004683,50.21807098388672,43.274200439453125, 57.16194534301758,9.82011859669971,50.07038116455078,43.12594985961914, 57.014808654785156,9.820906237004683,50.21807098388672,43.274200439453125, 57.16194534301758,9.82011859669971,50.07038116455078,43.12594985961914, 57.014808654785156,9.820906237004683,50.21807098388672,43.274200439453125, 57.16194534301758,9.82011859669971,9.0, 16.0
air,sky,Sky,No,2.0,54.885093688964844,39.98942947387695, 69.78075408935547,21.06564765613475,, ,55.47557067871094,40.5047721862793, 70.44636535644531,21.17190357015338,, ,0.0,0.0, 0.0,0.0,'n', 'n',0.9086025953292847,0.7687060236930847, 1.0484992265701294,0.19784367108426623,53.960418701171875,39.20630645751953, 68.71453094482422,20.86546563574808,, ,53.960418701171875,39.20630645751953, 68.71453094482422,20.86546563574808,54.10801696777344,39.353633880615234, 68.8624038696289,20.865851363705826,53.960418701171875,39.20630645751953, 68.71453094482422,20.86546563574808,54.10801696777344,39.353633880615234, 68.8624038696289,20.865851363705826,53.960418701171875,39.20630645751953, 68.71453094482422,20.86546563574808,54.10801696777344,39.353633880615234, 68.8624038696289,20.865851363705826,53.960418701171875,39.20630645751953, 68.71453094482422,20.86546563574808,54.10801696777344,39.353633880615234, 68.8624038696289,20.865851363705826,7.0, 21.0
air,earth,Earth,No,2.0,42.78015899658203,35.85652542114258, 49.70378875732422,9.791493805890266,, ,43.628509521484375,36.69967269897461, 50.557350158691406,9.798857703262088,, ,1.0,1.0, 1.0,0.0,'m', 'm',0.6483594179153442,0.6068753004074097, 0.6898435950279236,0.058667443749663886,42.11772155761719,35.23814010620117, 48.9973030090332,9.729197392042911,, ,42.11772155761719,35.23814010620117, 48.9973030090332,9.729197392042911,42.25809097290039,35.37893295288086, 49.13724899291992,9.728598569619269,42.11772155761719,35.23814010620117, 48.9973030090332,9.729197392042911,42.25809097290039,35.37893295288086, 49.13724899291992,9.728598569619269,42.11772155761719,35.23814010620117, 48.9973030090332,9.729197392042911,42.25809097290039,35.37893295288086, 49.13724899291992,9.728598569619269,42.11772155761719,35.23814010620117, 48.9973030090332,9.729197392042911,42.25809097290039,35.37893295288086, 49.13724899291992,9.728598569619269,5.0, 12.0
sky,sky,Sky,Yes,2.0,60.72010040283203,47.77801513671875, 73.66218566894531,18.30287250872641,, ,61.42172622680664,48.483184814453125, 74.36026763916016,18.29786074267628,, ,1.0,1.0, 1.0,0.0,'n', 'n',0.8251923322677612,0.7934888601303101, 0.8568958044052124,0.044835480271100986,59.880615234375,46.9691276550293, 72.79209899902344,18.25959814772435,, ,59.880615234375,46.9691276550293, 72.79209899902344,18.25959814772435,60.02619552612305,47.118080139160156, 72.93431091308594,18.254831844919753,59.880615234375,46.9691276550293, 72.79209899902344,18.25959814772435,60.02619552612305,47.118080139160156, 72.93431091308594,18.254831844919753,59.880615234375,46.9691276550293, 72.79209899902344,18.25959814772435,60.02619552612305,47.118080139160156, 72.93431091308594,18.254831844919753,59.880615234375,46.9691276550293, 72.79209899902344,18.25959814772435,60.02619552612305,47.118080139160156, 72.93431091308594,18.254831844919753,11.0, 23.0
